ID, station, date, enter_00, exit00, enter_01, exit01, enter_02, exit02, enter_03, exit03, enter_04, exit04, enter_05, exit05, enter_06, exit06, enter_07, exit07, enter_08, exit08, enter_09, exit09, enter_010, exit010, enter_011, exit011, enter_012, exit012, enter_013, exit013, enter_014, exit014, enter_015, exit015, enter_016, exit016, enter_017, exit017, enter_018, exit018, enter_019, exit019, enter_020, exit020, enter_021, exit021, enter_022, exit022, enter_023, exit023,station_latitute,station_longitude
BMTDFORTHAMILTONPARKWAY,FORT HAMILTON PARKWAY,5/1/11,89.25,133.75,0,0,0,0,0,0,0,0,3.75,30,3.75,30,3.75,30,3.75,30,62.75,33.25,62.75,33.25,62.75,33.25,62.75,33.25,120.75,55.75,120.75,55.75,120.75,55.75,120.75,55.75,123.25,91.75,123.25,91.75,123.25,91.75,123.25,91.75,89.25,133.75,89.25,133.75,89.25,133.75,40.640914,-73.994304
BMTFJMZESSEXST,ESSEX ST,5/1/11,813.5,705.25,0,0,0,0,0,0,0,0,329.75,129,329.75,129,329.75,129,329.75,129,204,203,204,203,204,203,204,203,608.5,595.5,608.5,595.5,608.5,595.5,608.5,595.5,878.25,796,878.25,796,878.25,796,878.25,796,813.5,705.25,813.5,705.25,813.5,705.25,40.718315,-73.987437
BMTFLM1236THAV,6TH AV,5/1/11,0,0,0,0,0,0,0,0,310,196.5,310,196.5,310,196.5,310,196.5,32.5,68.5,32.5,68.5,32.5,68.5,32.5,68.5,283.25,639.75,283.25,639.75,283.25,639.75,283.25,639.75,726,1034,726,1034,726,1034,726,1034,986.25,817.25,986.25,817.25,986.25,817.25,986.25,817.25,40.737335,-73.996786
BMTFQWEST8THST,WEST 8TH ST,5/1/11,0,0,0,0,0,0,0,0,16,25,16,25,16,25,16,25,31,4,31,4,31,4,31,4,229,442,229,442,229,442,229,442,508,765,508,765,508,765,508,765,708,296,708,296,708,296,708,296,40.576127,-73.975939
BMTFQWEST8THST,WEST 8TH ST,5/1/11,0,0,0,0,0,0,0,0,16,25,16,25,16,25,16,25,31,4,31,4,31,4,31,4,229,442,229,442,229,442,229,442,508,765,508,765,508,765,508,765,708,296,708,296,708,296,708,296,40.576127,-73.975939
BMTGLLORIMERST,LORIMER ST,5/1/11,540.25,535,0,0,0,0,0,0,0,0,278,181,278,181,278,181,278,181,145.25,72.25,145.25,72.25,145.25,72.25,145.25,72.25,571.25,225.5,571.25,225.5,571.25,225.5,571.25,225.5,734.5,395.5,734.5,395.5,734.5,395.5,734.5,395.5,540.25,535,540.25,535,540.25,535,40.714063,-73.950275
BMTJ111THST,111TH ST,5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,0.75,0,0.75,0,0,0,0,0,0,0,0,40.697418,-73.836345
BMTJALABAMAAV,ALABAMA AV,5/1/11,62,51.5,0,0,0,0,0,0,0,0,17.75,18.25,17.75,18.25,17.75,18.25,17.75,18.25,28.25,35.25,28.25,35.25,28.25,35.25,28.25,35.25,55.5,46.25,55.5,46.25,55.5,46.25,55.5,46.25,65.5,58.75,65.5,58.75,65.5,58.75,65.5,58.75,62,51.5,62,51.5,62,51.5,40.676992,-73.898654
BMTJCLEVELANDST,CLEVELAND ST,5/1/11,80.75,146.25,0,0,0,0,0,0,0,0,12.5,33,12.5,33,12.5,33,12.5,33,74.5,29.75,74.5,29.75,74.5,29.75,74.5,29.75,102,53,102,53,102,53,102,53,106,125,106,125,106,125,106,125,80.75,146.25,80.75,146.25,80.75,146.25,40.679947,-73.884639
BMTJCYPRESSHILLS,CYPRESS HILLS,5/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.689941,-73.87255
