Neighborhood,tripsnumber,revenue,tipamount,tippercentage,month
Fordham,151,2505.6,163.77,0.0654,4
Yorkville,114812,1449802.81,112145.43,0.0774,4
Kings Bridge,177,3208.71,224.67,0.07,4
Spuyten Duyvil,41,976.48,97.63,0.1,4
Battery Park,118892,1979248.65,202462.86,0.1023,4
Financial District,274005,4715524.12,438050.02,0.0929,5
Williamsburg,67588,1090975.57,105436.69,0.0966,5
West Village,386561,4981463.74,472187.95,0.0948,5
Ridgewood,482,7809.88,562.75,0.0721,5
Upper West Side,1154522,13922237.58,1200479.14,0.0862,5
Williams Bridge,68,1236.66,120.16,0.0972,5
Cobble Hill,9334,172342.62,18184.12,0.1055,5
Inwood,866,17064.78,1279.13,0.075,5
Queens Village,93,1877.58,83.94,0.0447,5
Auburndale,82,1502.02,75.37,0.0502,5
Gramercy,1099291,12921804.57,1226160.03,0.0949,5
Chelsea,973622,11854489.28,1129146.97,0.0953,5
University Heights,139,2688.7,157.16,0.0585,5
Greenwood,1872,34568.28,3188.87,0.0922,5
Wakefield-Williamsbridge,87,1602.55,95.4,0.0595,5
Park Slope,16350,258967.63,23989.32,0.0926,5
Chinatown,46980,670197.25,50781.65,0.0758,5
Corona,501,20109.01,2025.76,0.1007,5
South Bronx,625,9340.33,523.02,0.056,5
Sunny Side,43205,756575.33,58542.41,0.0774,5
Soho,321229,4232670.02,399677.63,0.0944,5
Dyker Heights,125,2321.24,190.29,0.082,5
Clearview,58,1014.11,80.96,0.0798,5
Harlem,61421,863851.24,70684.31,0.0818,5
Bay Ridge,682,12337.03,828.51,0.0672,5
Woodhaven-Richmond Hill,392,9051.06,680.43,0.0752,5
Jamaica,3144,167975.52,14351.58,0.0854,5
Bedford Park,144,2604.14,177.47,0.0681,5
East Village,483040,6200254.79,593981.22,0.0958,5
Hunts Point,106,1584.13,96.81,0.0611,5
Gravesend-Sheepshead Bay,486,8683.41,586.64,0.0676,5
Lower East Side,318667,4465228.24,412746.01,0.0924,5
Mapleton-Flatlands,1215,18166.06,1202.15,0.0662,5
Baychester,16,267.5,1,0.0037,5
Upper East Side,1874062,22050545.96,1851037.9,0.0839,5
Union Port,190,2885.74,153.76,0.0533,5
Central Park,194153,2316022.22,188607.36,0.0814,5
Woodside,10521,163584.66,9552.81,0.0584,5
Greenwich Village,655497,8091391.06,752025.57,0.0929,5
Forest Hills,5175,104678.41,7198,0.0688,5
Middle Village,220,4246.15,251.88,0.0593,5
Downtown,34133,580317.34,52903.18,0.0912,5
Morris Heights,243,3398.46,186.7,0.0549,5
Steinway,69,832.79,86.96,0.1044,5
Utopia,944,31845.96,2561.51,0.0804,5
Boerum Hill,19451,303312.58,27839.9,0.0918,5
Fort Green,33162,527906.9,47315.29,0.0896,5
Brownsville,216,3630.02,176.37,0.0486,5
Bushwick,3192,49917.44,4399.35,0.0881,5
Clinton,450637,5604297.22,475204.19,0.0848,5
City Island,2,128,19.5,0.1523,5
Borough Park,2322,39277.81,3175.84,0.0809,5
Jackson Heights,9349,178106.91,11631.33,0.0653,5
Astoria-Long Island City,63507,994360.36,74008.41,0.0744,5
Garment District,715932,8668979.07,691810.49,0.0798,5
Morningside Heights,109633,1582927.05,143487.65,0.0906,5
Flushing,1598,43940.93,3271.7,0.0745,5
East Harlem,42482,560094.1,40129.66,0.0716,5
Mott Haven,2918,42854.67,2126.41,0.0496,5
Washington Heights,17381,345353.45,31574.39,0.0914,5
Carroll Gardens,25094,457549,47633.53,0.1041,5
Flatbush,41,642.1,52.6,0.0819,5
Laurelton,76,2351.74,252.97,0.1076,5
Canarsie,161,3630.24,230.42,0.0635,5
Tribeca,240544,3422780.34,335382.19,0.098,5
The Rockaways,71,1352.11,119.69,0.0885,5
High Bridge,1034,17952.35,990.26,0.0552,5
Midtown,2180387,26350043.53,2302466.95,0.0874,5
Saintalbans,60,890.17,68.11,0.0765,5
Queensboro Hill,140,2897.97,385.27,0.1329,5
Tremont,229,3837.45,250.82,0.0654,5
Bensonhurst,233,3969.37,235.35,0.0593,5
Carnegie Hill,170455,2025165.43,163776.91,0.0809,5
Douglastown-Little Neck,206,3979.21,321.82,0.0809,5
Murray Hill,460410,5404384.23,488802.93,0.0904,5
East Brooklyn,295,7337.94,496.14,0.0676,5
Nkew Gardens,1357,31953.11,2254.96,0.0706,5
Springfield Gardens,419,20802.62,1762.3,0.0847,5
Woodlawn-Nordwood,44,786.9,23.4,0.0297,5
Hamilton Heights,26151,420421.15,35299.84,0.084,5
Parkchester,259,4689.47,458.01,0.0977,5
Bedford-Stuyvesant,5608,85848.05,6782.66,0.079,5
Morris Park,106,2356.24,126.98,0.0539,5
Sunset Park,716,12322.7,837.68,0.068,5
Country Club,39,898.55,84.22,0.0937,5
Maspeth,1272,42626.98,3437.06,0.0806,5
Throggs Neck,47,1016.3,117.66,0.1158,5
North Sutton Area,150609,1766142.87,147127.91,0.0833,5
Soundview,175,2707.88,156.39,0.0578,5
Glendale,153,2950.24,247.76,0.084,5
Little Italy,125597,1640026.43,155449.31,0.0948,5
Riverdale,156,3202.88,268.85,0.0839,5
Fordham,152,2729.27,120.95,0.0443,5
Yorkville,110042,1416249.33,109853.23,0.0776,5
Kings Bridge,233,3948.81,223.79,0.0567,5
Spuyten Duyvil,76,1698.77,147.81,0.087,5
Battery Park,115406,1940365.42,194599.67,0.1003,5
Financial District,284995,4833403.55,451688.41,0.0935,6
Williamsburg,68412,1111824.5,108814.34,0.0979,6
West Village,374664,4832649.03,462916.15,0.0958,6
Ridgewood,420,6369.04,481.56,0.0756,6
Clearview,22,517.94,54.78,0.1058,6
Williams Bridge,58,1401.94,100.95,0.072,6
Cobble Hill,9179,169760.85,18322.16,0.1079,6
Inwood,956,20483.26,1573.08,0.0768,6
Queens Village,78,1513.88,46.74,0.0309,6
Auburndale,57,1123.04,62.05,0.0553,6
Jackson Heights,9152,182370.05,12081.38,0.0662,6
Bensonhurst,209,3914.64,229.88,0.0587,6
University Heights,144,2412.49,161.67,0.067,6
Greenwood,1780,32761.73,3043.28,0.0929,6
Wakefield-Williamsbridge,61,1318.6,43.77,0.0332,6
Park Slope,17088,273152.19,25648.6,0.0939,6
Chinatown,46861,666704.12,51207.77,0.0768,6
Corona,469,19108.09,2018.16,0.1056,6
South Bronx,673,9816.34,457.96,0.0467,6
Sunny Side,42081,737212.23,55318.92,0.075,6
Soho,307559,4040871.1,382464.67,0.0946,6
Dyker Heights,102,2096.65,151.44,0.0722,6
Upper West Side,1090914,13113861.02,1139480.93,0.0869,6
Harlem,60856,855143.35,70948.07,0.083,6
Bay Ridge,636,11716.89,1069.4,0.0913,6
Woodhaven-Richmond Hill,516,10076.06,716.04,0.0711,6
Jamaica,3078,162657.47,13556.38,0.0833,6
Bedford Park,158,2672.12,164.54,0.0616,6
East Village,491185,6323589.57,615089.04,0.0973,6
Hunts Point,184,2770.81,221.5,0.0799,6
Gravesend-Sheepshead Bay,528,9920.73,649.66,0.0655,6
Lower East Side,314789,4433370.7,417247.11,0.0941,6
Mapleton-Flatlands,1094,18004.01,1105.85,0.0614,6
Baychester,17,396.5,11.5,0.029,6
Upper East Side,1790108,21223030.37,1803751.35,0.085,6
Union Port,164,2892.94,172.63,0.0597,6
Central Park,186563,2221086.83,181973.5,0.0819,6
Woodside,10383,161871.31,9476.82,0.0585,6
Greenwich Village,632950,7804047.98,727354.11,0.0932,6
Forest Hills,5036,105847.24,7643.17,0.0722,6
Middle Village,234,3882.98,207.18,0.0534,6
Downtown,33383,559338.69,50831.15,0.0909,6
Morris Heights,277,3951.81,279.89,0.0708,6
Steinway,32,459.74,45.91,0.0999,6
Utopia,964,31698.03,2437.24,0.0769,6
Boerum Hill,19393,308969.84,28737.05,0.093,6
Fort Green,34505,554989.56,51233.49,0.0923,6
Brownsville,187,3210.58,187.77,0.0585,6
Bushwick,3524,55083.28,5071.23,0.0921,6
Clinton,453962,5651203.24,478383.46,0.0847,6
City Island,10,194.12,6.12,0.0315,6
Borough Park,2750,44506.83,3709.17,0.0833,6
Gramercy,1085871,12791100.61,1219066.12,0.0953,6
Astoria-Long Island City,65290,1007067.72,72700.67,0.0722,6
Garment District,716336,8798980.32,704654.27,0.0801,6
Morningside Heights,83858,1188467.49,105653.11,0.0889,6
Flushing,1310,36521.42,2849.7,0.078,6
East Harlem,42971,577733.78,41826.76,0.0724,6
Mott Haven,2689,39662.93,2114.8,0.0533,6
Washington Heights,16509,328311.18,29193.64,0.0889,6
Carroll Gardens,24991,457016.62,47345.13,0.1036,6
Flatbush,27,582.41,45.25,0.0777,6
Laurelton,84,2899.52,178.24,0.0615,6
Canarsie,173,3308.86,188.56,0.057,6
Tribeca,235357,3319722.66,326403.94,0.0983,6
The Rockaways,36,922.43,61.35,0.0665,6
High Bridge,1133,19800.21,1206.45,0.0609,6
Midtown,2129225,25842247.26,2268355.29,0.0878,6
Saintalbans,50,1003.94,67.46,0.0672,6
Queensboro Hill,140,2161.48,123.52,0.0571,6
Tremont,266,4149.38,250.41,0.0603,6
Chelsea,953502,11585021.59,1105123.59,0.0954,6
Carnegie Hill,148223,1770246.24,144858.85,0.0818,6
Douglastown-Little Neck,201,3516.37,284.1,0.0808,6
